iter	RMSE
0	20.40372933
1	19.8937272
2	19.48273883
3	19.0043457
4	18.538105
5	18.1036882
6	17.73436513
7	17.34579389
8	16.95870455
9	16.58876732
10	16.21899415
11	15.88655509
12	15.57550243
13	15.26297301
14	14.93887603
15	14.64607181
16	14.36364361
17	14.08615856
18	13.85564305
19	13.59108522
20	13.35103795
21	13.10263399
22	12.87939969
23	12.6389838
24	12.45960753
25	12.25787929
26	12.0503272
27	11.86619167
28	11.66717382
29	11.47406488
30	11.27355446
31	11.09036491
32	10.92107648
33	10.74736128
34	10.57953096
35	10.44020542
36	10.27828904
37	10.15033128
38	9.998190446
39	9.883886138
40	9.73914533
41	9.621842016
42	9.498410169
43	9.390335485
44	9.287021773
45	9.188128385
46	9.091562469
47	8.988138498
48	8.90559025
49	8.815177236
50	8.734438589
51	8.650514997
52	8.553598476
53	8.473481944
54	8.382139746
55	8.299617581
56	8.225171686
57	8.162188387
58	8.080326646
59	8.019905483
60	7.951233724
61	7.897521011
62	7.824615059
63	7.761033653
64	7.697651061
65	7.635517113
66	7.580740023
67	7.525216685
68	7.46589653
69	7.424786418
70	7.380316688
71	7.325616561
72	7.271154789
73	7.222398558
74	7.183433267
75	7.133772856
76	7.087281092
77	7.048448468
78	7.005901382
79	6.971095594
80	6.932098382
81	6.893172602
82	6.857135538
83	6.821859892
84	6.790341879
85	6.755295186
86	6.730865004
87	6.702198836
88	6.678728834
89	6.646126212
90	6.61753263
91	6.587146595
92	6.553315579
93	6.523217078
94	6.488867619
95	6.461519895
96	6.43328063
97	6.412128761
98	6.379549067
99	6.349579506
100	6.321541269
101	6.293553128
102	6.271961037
103	6.233100845
104	6.206157539
105	6.18565914
106	6.158182602
107	6.131551734
108	6.10852905
109	6.0838258
110	6.059928206
111	6.041855475
112	6.021454148
113	6.001635356
114	5.987829572
115	5.96719234
116	5.946138224
117	5.933804446
118	5.914100146
119	5.897575253
120	5.875674691
121	5.864222663
122	5.847736432
123	5.828202447
124	5.808866752
125	5.789961178
126	5.769572195
127	5.748689837
128	5.730133842
129	5.716509746
130	5.696167771
131	5.678312294
132	5.658331372
133	5.628264671
134	5.615408105
135	5.597272064
136	5.588241926
137	5.566498637
138	5.556425076
139	5.537416655
140	5.525364997
141	5.510416422
142	5.504271532
143	5.49053813
144	5.477163042
145	5.465576936
146	5.453284589
147	5.44054139
148	5.424706436
149	5.415631913
150	5.404142163
151	5.389886216
152	5.370522667
153	5.362979774
154	5.350722646
155	5.337093244
156	5.323766656
157	5.318337204
158	5.308096569
159	5.295126325
160	5.283430579
161	5.27498248
162	5.267045276
163	5.253519541
164	5.239280401
165	5.222192073
166	5.207995077
167	5.19649818
168	5.190169778
169	5.182131038
170	5.170983898
171	5.15430256
172	5.14578352
173	5.135206711
174	5.125878756
175	5.120073799
176	5.105548091
177	5.098009157
178	5.085634772
179	5.074127968
180	5.061225355
181	5.052405744
182	5.047071588
183	5.039570214
184	5.030314854
185	5.019256906
186	5.003819737
187	4.993383985
188	4.985842284
189	4.980079301
190	4.967605232
191	4.958097146
192	4.953697833
193	4.946894609
194	4.934293439
195	4.925361836
196	4.909982873
197	4.899307005
198	4.892343986
199	4.883925071
200	4.875746981
201	4.872625579
202	4.864108875
203	4.85627153
204	4.848938001
205	4.842251219
206	4.837225054
207	4.830378694
208	4.819528263
209	4.805729638
210	4.796341047
211	4.78890968
212	4.779864036
213	4.769746617
214	4.763266932
215	4.760762924
216	4.75411143
217	4.748927948
218	4.746648258
219	4.7321775
220	4.721613616
221	4.716694067
222	4.703083416
223	4.694079197
224	4.68536891
225	4.672393523
226	4.668236994
227	4.666506295
228	4.656839004
229	4.649709437
230	4.643569795
231	4.641827864
232	4.63818997
233	4.631195586
234	4.620617611
235	4.60919374
236	4.606350838
237	4.588335322
238	4.581098482
239	4.578707643
240	4.568558535
241	4.560782122
242	4.559321327
243	4.557903139
244	4.550758611
245	4.549295099
246	4.536603773
247	4.529062577
248	4.51600402
249	4.508971649
250	4.49610857
251	4.487658405
252	4.477124522
253	4.469457529
254	4.464416116
255	4.45525986
256	4.437907737
257	4.424747644
258	4.420026475
259	4.41466584
260	4.404494881
261	4.397824699
262	4.384521971
263	4.383320729
264	4.378832465
265	4.369963196
266	4.368730049
267	4.359392849
268	4.347120563
269	4.342600876
270	4.33486006
271	4.327689965
272	4.319847412
273	4.313330916
274	4.301410147
275	4.29245925
276	4.278173155
277	4.267705886
278	4.260899257
279	4.251230458
280	4.243875421
281	4.236123418
282	4.233678915
