iter	Passed	Remaining
0	1	1576
1	2	1481
2	4	1462
3	6	1510
4	7	1517
5	8	1480
6	10	1468
7	11	1448
8	13	1480
9	14	1476
10	16	1460
11	17	1445
12	18	1434
13	20	1422
14	21	1423
15	23	1422
16	24	1427
17	26	1434
18	27	1431
19	29	1432
20	30	1431
21	32	1425
22	33	1423
23	34	1422
24	36	1422
25	37	1419
26	39	1412
27	40	1412
28	42	1408
29	43	1407
30	45	1411
31	46	1408
32	47	1406
33	49	1404
34	50	1397
35	52	1397
36	53	1395
37	55	1392
38	56	1389
39	57	1391
40	59	1393
41	61	1392
42	62	1390
43	64	1391
44	65	1389
45	67	1390
46	68	1387
47	69	1386
48	71	1383
49	72	1380
50	74	1379
51	75	1377
52	77	1376
53	78	1376
54	80	1374
55	81	1374
56	82	1370
57	83	1363
58	85	1356
59	86	1350
60	87	1344
61	88	1338
62	89	1331
63	90	1325
64	91	1320
65	92	1314
66	93	1307
67	94	1301
68	96	1296
69	97	1291
70	98	1285
71	99	1281
72	100	1276
73	101	1271
74	102	1265
75	103	1260
76	104	1255
77	105	1250
78	106	1245
79	107	1240
80	108	1235
81	109	1231
82	111	1227
83	112	1224
84	113	1219
85	114	1215
86	115	1211
87	116	1207
88	117	1203
89	118	1198
90	119	1195
91	120	1191
92	121	1188
93	122	1184
94	123	1180
95	124	1176
96	126	1173
97	127	1170
98	128	1167
99	129	1165
100	130	1163
101	131	1160
102	132	1157
103	134	1154
104	135	1151
105	136	1148
106	137	1145
107	138	1144
108	139	1143
109	141	1141
110	142	1138
111	143	1136
112	144	1133
113	145	1130
114	146	1127
115	147	1124
116	148	1121
117	149	1117
118	150	1114
119	151	1111
120	152	1107
121	153	1104
122	154	1101
123	155	1098
124	156	1095
125	157	1092
126	158	1089
127	159	1086
128	160	1083
129	161	1080
130	162	1077
131	163	1074
132	164	1072
133	165	1069
134	166	1068
135	167	1066
136	168	1063
137	169	1061
138	171	1059
139	172	1056
140	173	1054
141	174	1051
142	175	1049
143	176	1046
144	177	1044
145	178	1041
146	179	1039
147	180	1036
148	181	1034
149	182	1031
150	183	1029
151	184	1027
